id,mz,rt,ms1_isotopes,S110,S111,S144,S134,S98,S99
M531T206,531.293181689711,205.86349999999,NA,7096.72173248814,6467.00800525015,7056.13716687011,8957.56243152061,8198.07739115575,8278.5389250391
M531T489,531.348367398878,489.143,M532T489,25610.2795189254,27403.7568217283,26034.0407461861,26251.6171196087,29645.3579973331,25297.2251716983
M531T158,531.351823767409,158.29749999998,NA,5894.29083955274,6120.57121597961,6447.71025372822,6139.08978544399,6309.54756885566,5798.79691633381
M531T76,531.37902582552,76.40400000002,NA,3983.11573023697,4129.52114627806,3783.84677800232,3519.40353050995,4159.02822658546,3582.94155957927
M532T184,532.206111659534,183.84150000001,NA,17346.6581427055,15351.4384073557,15902.6373063369,17708.2871274398,18682.0385038014,16116.4869984299
M532T485,532.27114475601,485.12900000002,NA,10303.2518243583,11454.2070200115,10365.4531910239,8441.14242698436,9967.74342951887,7308.38487128195
M532T206,532.275935189437,205.864,M533T206,58909.1793818037,60786.3811254611,63333.4317596214,73150.3784019138,67248.5259237191,65815.1295641063
M532T274,532.296471498672,274.26550000002,M533T274,9342.34365022177,14027.0714729679,10645.1087435857,10165.6414377855,10535.4493018339,9449.53779217527
M532T557,532.306721995151,556.75299999999,NA,7878.66369289985,8274.3814688472,8395.58665600057,8341.94452843627,7994.83286628833,8405.59517181036
M532T453,532.429983256132,453.05050000001,M533T453,9118.81318524908,10435.5453493868,10235.9833100026,9387.46503623187,11242.8825941521,9073.3705239002
M533T169,533.189419014015,169.363,NA,4901.39491659035,4527.61660319148,3978.25461989053,4161.19834383801,3961.46207910623,3879.83598570688
M533T341,533.195840243185,340.827,NA,5750.048062959,5395.84774931124,6274.27439784822,6177.89962158762,5325.86873112374,4613.1854393812
M533T324,533.210694476133,323.51950000001,M534T324,15248.8802402797,13098.3696682563,12197.7429589691,14518.6849362984,13760.4417939587,12956.234077447
M533T366,533.377766010504,365.67999999999,M534T366,10467.4559227597,9830.61701110025,10067.0642984892,9755.27501652246,10252.0111022186,10481.6652349543
M534T212,534.200981313542,211.53649999999,NA,5177.93514234417,5075.10792661286,4448.66699987954,7744.37077214214,8018.12006358658,7049.66905124882
M534T187,534.230724513813,187.2,M535T187,21681.0807027226,18910.130666818,18007.8849503097,18668.9917815835,20697.5951108536,20263.7186225944
M535T363,535.332226405368,363.0125,NA,9375.46176319037,8992.34089046779,9569.71482298562,10973.5655164832,10619.8976266451,8764.34208509831
M536T40,536.163708387326,39.7015,NA,12678.4585583894,22302.9469412683,21606.6792163537,11100.3638683257,14345.1450438319,12066.3038682177
M536T361,536.234235913008,361.0125,NA,23187.3954793152,9638.8094694788,16337.8395368896,27744.870043405,29257.0112026978,27425.6414973065
M536T311,536.267820624298,311.39800000002,M537T312,32832.9287496249,29310.5724749545,30476.6802725357,33866.6976362967,32523.3175423397,28884.9996677355
